Tract,Median Value,Difference,Franken,Ofm,Reference Line
53077001802,0.992302781,-6.433986405,835.884586495,829.450600089,835.884586495
53073010900,1.167303953,140.033249792,836.999048593,977.032298385,836.999048593
53033026003,0.840490761,-133.577124555,837.425625939,703.848501384,837.425625939
53033029004,1.009135853,7.901835095,864.925832012,872.827667107,864.925832012
53001950500,0.555807821,-385.522591402,867.918458781,482.395867380,867.918458781
53007960203,1.300320517,261.622483294,871.144223022,1132.766706315,871.144223022
53057940802,1.046144216,40.328369693,873.963704048,914.292073742,873.963704048
53053940006,0.883995354,-102.015427086,879.408115253,777.392688167,879.408115253
53033027200,0.984437451,-13.743213495,883.095285985,869.352072490,883.095285985
53077000100,0.955612047,-39.386110369,887.315302599,847.929192230,887.315302599
53077002202,0.974798449,-22.513510041,893.338280443,870.824770402,893.338280443
53053061602,0.702704614,-268.085406058,901.747619099,633.662213041,901.747619099
53029970200,1.048257746,43.665462825,904.838420434,948.503883259,904.838420434
53077940003,0.856340206,-130.282701713,906.883532881,776.600831168,906.883532881
53033005306,2.159426989,1062.612378720,916.497880829,1979.110259549,916.497880829
53033011700,0.523182690,-437.447770234,917.432654076,479.984883842,917.432654076
53053072909,2.083183869,1000.613129469,923.770338354,1924.383467823,923.770338354
53033010900,0.899209036,-93.748263644,930.125675466,836.377411821,930.125675466
53049950302,0.876968679,-115.504201862,938.819490818,823.315288956,938.819490818
53077002006,1.030359599,29.044958560,956.697708769,985.742667329,956.697708769
53025010901,0.960852745,-37.544355993,959.054623331,921.510267338,959.054623331
53021020300,1.037852880,36.608712883,967.131495385,1003.740208268,967.131495385
53025011406,1.260048506,251.537407189,967.271109431,1218.808516620,967.271109431
53025011401,0.836150964,-158.585652093,967.876622995,809.290970902,967.876622995
53015001000,0.916248629,-81.080354661,968.107787863,887.027433202,968.107787863
53033005305,1.133572182,130.651330319,978.132785501,1108.784115819,978.132785501
53005011202,0.920184235,-78.761335754,986.789205882,908.027870128,986.789205882
53033026101,0.923160409,-76.658927950,997.648830736,920.989902786,997.648830736
53045960700,1.005725937,5.761165970,1006.152549219,1011.913715189,1006.152549219
53037975102,0.943304544,-57.084146156,1006.855750544,949.771604388,1006.855750544
53039950101,0.941068254,-59.433995675,1008.522558923,949.088563247,1008.522558923
53053071805,0.857460942,-144.856240499,1016.256475209,871.400234710,1016.256475209
53033011802,0.763667613,-240.453230678,1017.436644067,776.983413389,1017.436644067
53073011000,1.430953047,439.095290926,1018.893575788,1457.988866714,1018.893575788
53077001902,0.863326224,-139.536139944,1020.943034305,881.406894362,1020.943034305
53017950102,0.983929370,-16.410179035,1021.128536563,1004.718357528,1021.128536563
53061050600,1.047503332,48.579914642,1022.663316534,1071.243231176,1022.663316534
53071920500,0.874884819,-128.339250522,1025.768809368,897.429558846,1025.768809368
53033023808,1.109200230,113.440307751,1038.828469134,1152.268776885,1038.828469134
53077000302,0.850547693,-157.638861311,1054.777037280,897.138175968,1054.777037280
53033024904,1.167655434,177.178198422,1056.799616849,1233.977815271,1056.799616849
53033030407,1.074563796,78.822097267,1057.109506055,1135.931603321,1057.109506055
53053060200,1.054710339,58.388930302,1067.237580439,1125.626510740,1067.237580439
53033010401,0.547662368,-482.784990647,1067.311132396,584.526141749,1067.311132396
53049950802,0.863819041,-146.856519032,1078.392459655,931.535940623,1078.392459655
53033026600,0.855606946,-158.846052026,1100.094828185,941.248776159,1100.094828185
53053061900,0.901268362,-108.811129041,1102.089782874,993.278653833,1102.089782874
53053061601,0.922507798,-86.847869456,1120.730435541,1033.882566085,1120.730435541
53077000600,0.752989552,-277.028064132,1121.523671011,844.495606879,1121.523671011
53033029207,1.093513728,105.038519710,1123.241706204,1228.280225914,1123.241706204
53033029101,1.171743949,193.407634714,1126.139437735,1319.547072450,1126.139437735
53049950701,0.924140845,-85.493188011,1126.998956594,1041.505768583,1126.998956594
53037975203,1.093259757,105.145751408,1127.450413343,1232.596164751,1127.450413343
53033029308,1.095359044,107.615135392,1128.525735617,1236.140871009,1128.525735617
53077001300,0.979180085,-23.569600725,1132.069977062,1108.500376337,1132.069977062
53077000200,0.803308793,-223.577962186,1136.695258740,913.117296554,1136.695258740
53011042900,1.038627859,44.139104604,1142.675398853,1186.814503457,1142.675398853
53033005202,1.180941678,208.997108612,1155.052341181,1364.049449793,1155.052341181
53033028000,1.026586026,30.825189569,1159.450818483,1190.276008052,1159.450818483
53033032224,1.289356418,336.255051058,1162.079116574,1498.334167632,1162.079116574
53055960502,1.121524968,141.709023207,1166.089783282,1307.798806489,1166.089783282
53007961301,1.023805148,27.881495738,1171.238071942,1199.119567680,1171.238071942
53053940007,0.837449089,-191.904545941,1180.581178592,988.676632650,1180.581178592
53033010101,0.635653202,-431.066067284,1183.120230177,752.054162893,1183.120230177
53077001201,1.022078816,26.241435142,1188.534504575,1214.775939717,1188.534504575
53049950600,0.901845569,-116.679939055,1188.738383417,1072.058444362,1188.738383417
53037975103,0.902312371,-116.544422061,1193.031530094,1076.487108033,1193.031530094
53011042500,1.214842268,257.618326134,1199.104479646,1456.722805780,1199.104479646
