COUNTY_NAME,RACE,Franken,Ofm,n,totalDiff,totalDifPct,tractsHighlyVariable,tractsHighlyVariablePct,personsHighlyVariable,personsHighlyVariablePct
Cowlitz,aian,1445.958376256,1265.992725056,14,-179.96565120000014,-0.1244611561129323,27,1.9285714285714286,1317.45151321,0.9111268587282982
Douglas,aian,352.427189731,234.189941928,193,-118.237247803,-0.3354941140984267,6,0.031088082901554404,257.240712284,0.7299116520503035
Ferry,aian,1293.0,933.4855283009999,1,-359.51447169900007,-0.2780467685220418,3,3.0,1293.0,1.0
Franklin,aian,452.64815859099997,238.198503728,23,-214.44965486299998,-0.47376676739509416,18,0.782608695652174,375.97091729299996,0.830602997399392
Garfield,aian,18.0,3.766143618,1,-14.233856381999999,-0.790769799,1,1.0,18.0,1.0
Grant,aian,846.9586167790001,530.183967256,6,-316.7746495230001,-0.37401431811119673,20,3.3333333333333335,729.971214411,0.8618735318935589
Grays Harbor,aian,3537.155017921,2319.7505723599998,8,-1217.404445561,-0.3441761640055409,18,2.25,3424.447088906,0.9681359939148935
Island,aian,564.042774499,534.205536051,14,-29.837238447999994,-0.052898893128277974,15,1.0714285714285714,376.817898891,0.6680661749912516
Jefferson,aian,567.848222448,534.921306722,24,-32.92691572599995,-0.05798541656791959,7,0.2916666666666667,275.528999492,0.48521592319896933
King,aian,12016.024052271001,12462.860942051,23,446.8368897799992,0.03718675061203361,412,17.91304347826087,10018.353419592,0.8337494479048213
Kitsap,aian,3525.00762845,3427.695053824,21,-97.31257462600024,-0.027606344406349577,49,2.3333333333333335,2975.569434343,0.844131346079215
Kittitas,aian,419.416997824,246.87811692,41,-172.53888090400002,-0.41137789312106643,13,0.3170731707317073,414.020884699,0.9871342526578659
Klickitat,aian,518.898316499,209.292613127,54,-309.605703372,-0.5966596798018262,6,0.1111111111111111,518.898316499,1.0
Lewis,aian,1018.849036536,767.903000791,115,-250.94603574500002,-0.24630345296119158,18,0.1565217391304348,838.5128302969999,0.8230000718731326
Lincoln,aian,204.0,24.995044565999997,20,-179.004955434,-0.8774752717352942,4,0.2,204.0,1.0
Mason,aian,2001.141974261,1727.504807768,4,-273.637166493,-0.13674050617725472,15,3.75,1173.494373218,0.5864123527024406
Okanogan,aian,4612.323247677,3807.950095015,5,-804.3731526619999,-0.17439652632046618,13,2.6,4612.323247677,1.0
Pacific,aian,501.0,130.400815858,12,-370.599184142,-0.7397189304231537,11,0.9166666666666666,501.0,1.0
Pend Oreille,aian,373.0,187.74689115,1,-185.25310885,-0.4966571282841823,5,5.0,373.0,1.0
Pierce,aian,9781.271823121,9150.011670358,23,-631.2601527629995,-0.0645376352051504,143,6.217391304347826,7198.292934852,0.7359260702515856
San Juan,aian,92.0,18.705254336,19,-73.294745664,-0.7966820180869566,8,0.42105263157894735,92.0,1.0
Skagit,aian,2076.085254042,1802.1711743350002,173,-273.9140797069999,-0.1319377800953537,33,0.1907514450867052,1203.251428716,0.5795770796856002
Skamania,aian,170.0,39.858534182,57,-130.141465818,-0.7655380342235294,4,0.07017543859649122,170.0,1.0
Snohomish,aian,8093.086532471,8637.823729894,30,544.737197423,0.06730895502444104,138,4.6,5485.887881274,0.6778486624680925
Spokane,aian,6946.303744263,5619.198317455,10,-1327.1054268080006,-0.19105202934784793,113,11.3,6128.046496428,0.8822024953183476
Stevens,aian,2594.7242726920003,1894.9816134769999,10,-699.7426592150005,-0.2696790046554829,12,1.2,2482.817229654,0.9568713160717082
Thurston,aian,3662.307558335,3126.764074416,130,-535.5434839190002,-0.14623116037869716,45,0.34615384615384615,2776.941678533,0.7582491733150574
Wahkiakum,aian,55.0,9.96652689,7,-45.03347311,-0.8187904201818182,1,0.14285714285714285,55.0,1.0
Walla Walla,aian,437.89868657,284.599210027,9,-153.29947654299997,-0.3500797815672242,11,1.2222222222222223,382.967859477,0.8745581368985927
Whatcom,aian,5495.128541507,5165.49565025,494,-329.63289125699976,-0.05998638407948876,48,0.09716599190283401,5002.633088023,0.9103759903405396
Whitman,aian,274.981163364,204.70796557699998,11,-70.27319778700002,-0.2555564058545257,11,1.0,255.159085166,0.9279147780324103
Yakima,aian,9490.14122955,7293.594220396,15,-2196.547009153999,-0.23145567131440406,46,3.066666666666667,7352.382123861,0.7747389576213538
Adams,asian,129.0,18.448806695000002,45,-110.551193305,-0.8569859946124031,7,0.15555555555555556,129.0,1.0
Asotin,asian,206.0,65.204953684,21,-140.795046316,-0.6834710986213592,6,0.2857142857142857,206.0,1.0
Benton,asian,6350.653393736,6123.046066071,14,-227.6073276650004,-0.03583998583350527,34,2.4285714285714284,4856.609906645,0.7647417683722658
Chelan,asian,819.672402877,625.863081667,193,-193.80932121,-0.23644729349157195,22,0.11398963730569948,815.802014388,0.9952781276087677
Clallam,asian,1260.938904575,1213.441181377,1,-47.4977231979999,-0.03766853653707277,19,19.0,971.227329194,0.7702413857405349
Clark,asian,24334.998257861,24971.663103419,23,636.6648455579998,0.02616251864132911,83,3.608695652173913,16614.381426394,0.6827360844797682
Columbia,asian,21.0,15.460397719,1,-5.5396022810000005,-0.26379058480952383,1,1.0,21.0,1.0
