Year,County,AgeCat,fpPopulation,Population,dif,pctDiff
2012,53021,65+,6271.009,6304.89,-33.881,-0.005
2013,53021,65+,6654.125,6711.497,-57.373,-0.009
2014,53021,65+,7045.705,7123.884,-78.179,-0.011
2015,53021,65+,7405.596,7495.687,-90.091,-0.012
2016,53021,65+,7873.951,7971.324,-97.373,-0.012
2017,53021,65+,8312.104,8430.204,-118.1,-0.014
2018,53021,65+,8780.786,8931.566,-150.781,-0.017
2019,53021,65+,9240.017,9419.007,-178.989,-0.019
2020,53021,65+,9743.339,9944.43,-201.091,-0.02
2011,53023,65+,511.432,517.738,-6.306,-0.012
2012,53023,65+,519.769,531.123,-11.354,-0.021
2013,53023,65+,534.611,551.161,-16.55,-0.03
2014,53023,65+,547.782,569.646,-21.864,-0.038
2015,53023,65+,566.757,594.628,-27.871,-0.047
2016,53023,65+,588.69,621.225,-32.535,-0.052
2017,53023,65+,608.039,647.117,-39.078,-0.06
2018,53023,65+,615.862,660.913,-45.051,-0.068
2019,53023,65+,630.824,681.206,-50.382,-0.074
2020,53023,65+,644.961,702.999,-58.038,-0.083
2011,53025,65+,10731.763,10748.936,-17.173,-0.002
2012,53025,65+,11101.853,11141.237,-39.385,-0.004
2013,53025,65+,11455.609,11520.714,-65.105,-0.006
2014,53025,65+,11864.116,11948.776,-84.66,-0.007
2015,53025,65+,12288.334,12390.28,-101.945,-0.008
2016,53025,65+,12592.375,12699.658,-107.284,-0.008
2017,53025,65+,13058.104,13179.907,-121.803,-0.009
2018,53025,65+,13618.669,13745.106,-126.437,-0.009
2019,53025,65+,14155.93,14291.943,-136.013,-0.01
2020,53025,65+,14761.93,14911.776,-149.846,-0.01
2011,53027,65+,12279.85,12161.465,118.384,0.01
2012,53027,65+,12925.776,12690.535,235.242,0.019
2013,53027,65+,13475.495,13125.512,349.982,0.027
2014,53027,65+,14061.12,13597.004,464.116,0.034
2015,53027,65+,14578.749,14001.377,577.372,0.041
2016,53027,65+,15218.634,14510.567,708.067,0.049
2017,53027,65+,15806.42,14980.303,826.116,0.055
2018,53027,65+,16493.414,15539.342,954.072,0.061
2019,53027,65+,17175.06,16094.053,1081.007,0.067
2020,53027,65+,17893.303,16681.792,1211.511,0.073
2011,53029,65+,14858.32,14960.954,-102.633,-0.007
2012,53029,65+,15596.269,15799.778,-203.509,-0.013
2013,53029,65+,16244.117,16546.352,-302.234,-0.018
2014,53029,65+,16858.974,17258.453,-399.479,-0.023
2015,53029,65+,17584.12,18082.012,-497.892,-0.028
2016,53029,65+,19880.386,20510.579,-630.193,-0.031
2017,53029,65+,20728.26,21457.152,-728.892,-0.034
2018,53029,65+,21861.215,22704.49,-843.275,-0.037
2019,53029,65+,22919.71,23876.188,-956.478,-0.04
2020,53029,65+,23923.888,24994.181,-1070.293,-0.043
2011,53031,65+,8300.242,8242.168,58.074,0.007
2012,53031,65+,8860.078,8743.774,116.305,0.013
2013,53031,65+,9397.622,9224.928,172.695,0.019
2014,53031,65+,10014.345,9781.192,233.152,0.024
2015,53031,65+,10535.376,10242.107,293.269,0.029
2016,53031,65+,11149.548,10792.222,357.325,0.033
2017,53031,65+,11680.195,11262.683,417.512,0.037
2018,53031,65+,12189.321,11714.446,474.875,0.041
2019,53031,65+,12705.827,12171.611,534.216,0.044
2020,53031,65+,13206.892,12615.596,591.296,0.047
2011,53033,65+,219644.583,216617.422,3027.161,0.014
2012,53033,65+,233863.167,227786.854,6076.313,0.027
2013,53033,65+,246933.596,237776.491,9157.105,0.039
2014,53033,65+,258178.029,245934.253,12243.777,0.05
2015,53033,65+,269478.945,254149.896,15329.05,0.06
2016,53033,65+,270616.975,252469.262,18147.713,0.072
2017,53033,65+,279690.26,258486.28,21203.98,0.082
2018,53033,65+,290704.584,266294.829,24409.756,0.092
2019,53033,65+,301686.713,274075.33,27611.383,0.101
2020,53033,65+,313359.19,282461.552,30897.638,0.109
2011,53035,65+,34677.447,35428.497,-751.051,-0.021
2012,53035,65+,36248.423,37724.48,-1476.057,-0.039
2013,53035,65+,38267.05,40473.827,-2206.776,-0.055
2014,53035,65+,40050.299,42963.486,-2913.186,-0.068
2015,53035,65+,42012.586,45638.241,-3625.655,-0.079
2016,53035,65+,46733.619,51325.584,-4591.964,-0.089
2017,53035,65+,48384.017,53676.362,-5292.345,-0.099
2018,53035,65+,50693.472,56774.346,-6080.873,-0.107
2019,53035,65+,53126.62,60046.157,-6919.536,-0.115
2020,53035,65+,55165.294,62868.915,-7703.621,-0.123
2011,53037,65+,5281.04,5363.434,-82.394,-0.015
2012,53037,65+,5467.664,5628.113,-160.449,-0.029
2013,53037,65+,5670.13,5906.012,-235.882,-0.04
2014,53037,65+,5850.294,6157.653,-307.358,-0.05
2015,53037,65+,6264.31,6653.12,-388.81,-0.058
2016,53037,65+,6853.483,7331.648,-478.165,-0.065
2017,53037,65+,7242.729,7807.968,-565.239,-0.072
2018,53037,65+,7643.627,8302.474,-658.847,-0.079
2019,53037,65+,8038.059,8789.701,-751.643,-0.086
2020,53037,65+,8573.862,9434.04,-860.178,-0.091
2011,53039,65+,3755.776,3807.481,-51.705,-0.014
2012,53039,65+,3938.019,4034.885,-96.866,-0.024
2013,53039,65+,4142.423,4287.355,-144.932,-0.034
2014,53039,65+,4351.262,4540.137,-188.875,-0.042
2015,53039,65+,4557.244,4790.46,-233.217,-0.049
2016,53039,65+,4851.766,5145.849,-294.083,-0.057
2017,53039,65+,5079.446,5429.463,-350.017,-0.064
2018,53039,65+,5293.752,5703.577,-409.825,-0.072
2019,53039,65+,5520.95,5990.457,-469.508,-0.078
2020,53039,65+,5734.645,6263.452,-528.807,-0.084
2011,53041,65+,13516.506,13409.098,107.407,0.008
2012,53041,65+,14123.01,13909.784,213.226,0.015
2013,53041,65+,14621.668,14306.199,315.469,0.022
2014,53041,65+,15138.513,14722.295,416.218,0.028
2015,53041,65+,15680.043,15161.344,518.699,0.034
2016,53041,65+,16147.286,15518.751,628.535,0.041
2017,53041,65+,16740.701,16003.793,736.908,0.046
2018,53041,65+,17534.257,16674.892,859.365,0.052
2019,53041,65+,18385.802,17401.197,984.605,0.057
2020,53041,65+,19128.318,18028.118,1100.2,0.061
2011,53043,65+,2252.621,2248.516,4.104,0.002
2012,53043,65+,2351.735,2343.438,8.297,0.004
2013,53043,65+,2452.669,2438.957,13.712,0.006
2014,53043,65+,2538.696,2520.455,18.241,0.007
2015,53043,65+,2640.103,2618.526,21.578,0.008
2016,53043,65+,2697.585,2670.618,26.967,0.01
2017,53043,65+,2789.752,2756.435,33.317,0.012
2018,53043,65+,2888.0,2845.867,42.132,0.015
