Tract,Median Value,Difference,Franken,Ofm,Reference Line
53015980000,0.448329556,-24.658464676,44.697817190,20.039352513,44.697817190
53057950100,0.250195647,-33.578168387,44.782573290,11.204404903,44.782573290
53007960203,0.066523038,-41.940146129,44.928956835,2.988810705,44.928956835
53077001802,0.106824089,-40.398630353,45.230317848,4.831687495,45.230317848
53001950500,0.079724718,-41.820574315,45.443548387,3.622974072,45.443548387
53025010901,0.723552905,-12.664662010,45.812244898,33.147582888,45.812244898
53039950101,0.001406955,-46.770466972,46.836363636,0.065896665,46.836363636
53021020700,0.127440455,-42.910343166,49.177552898,6.267209732,49.177552898
53025011406,0.261183510,-36.667412147,49.629931973,12.962519826,49.629931973
53057952404,0.523448392,-23.660903745,49.650244300,25.989340554,49.650244300
53073010900,0.397307626,-30.004258286,49.783703213,19.779444927,49.783703213
53045960100,0.185563063,-40.724235215,50.002932551,9.278697337,50.002932551
53077002006,0.301982105,-34.930249064,50.042053790,15.111804726,50.042053790
53021020202,0.390955565,-31.103288578,51.068997240,19.965708662,51.068997240
53073011000,0.081769484,-47.505578868,51.736005300,4.230426432,51.736005300
53077940006,0.241825864,-41.588724615,54.853789731,13.265065116,54.853789731
53077003003,0.172426087,-45.395565425,54.853789731,9.458224306,54.853789731
53021020102,0.262094329,-41.173371455,55.797608096,14.624236640,55.797608096
53021020801,0.039504700,-53.593340344,55.797608096,2.204267752,55.797608096
53033023702,0.790493829,-11.694358414,55.818682493,44.124324079,55.818682493
53007960302,0.218821734,-44.058594681,56.400179856,12.341585176,56.400179856
53007960202,0.270203998,-41.160625748,56.400179856,15.239554109,56.400179856
53007961301,0.323254384,-38.815499439,57.356115108,18.540615669,57.356115108
53077001902,0.176153495,-47.569582045,57.740831296,10.171249250,57.740831296
53049950802,0.150975015,-49.172578908,57.916527546,8.743948638,57.916527546
53077001504,0.204282936,-46.711120833,58.703178484,11.992057651,58.703178484
53065951302,0.255164413,-44.207946162,59.352623457,15.144677295,59.352623457
53077000301,0.772382052,-13.580944528,59.665525672,46.084581145,59.665525672
53077940007,0.196794406,-47.923683978,59.665525672,11.741841695,59.665525672
53045940000,0.477631745,-31.753658156,60.787878788,29.034220632,60.787878788
53007960303,0.244284829,-46.234545414,61.179856115,14.945310701,61.179856115
53057940801,0.227606956,-47.372915903,61.332654723,13.959738820,61.332654723
53077000302,0.578902340,-25.935497519,61.590220049,35.654722530,61.590220049
53049950302,0.506450503,-30.522616951,61.843071786,31.320454836,61.843071786
53001950200,0.071419971,-57.699267125,62.137096774,4.437829650,62.137096774
53055960502,0.136994610,-55.723964127,64.569659443,8.845695315,64.569659443
53021020300,0.087657319,-59.534766364,65.254829807,5.720063443,65.254829807
53057950803,0.519397503,-31.816041849,66.200325733,34.384283884,66.200325733
53037975203,0.054908694,-63.091800964,66.757360406,3.665559442,66.757360406
53005010807,0.289492986,-47.593794693,66.985678876,19.391884183,66.985678876
53077001503,0.310359024,-46.457183810,67.364303178,20.907119369,67.364303178
53007960301,0.026201547,-66.093067133,67.871402878,1.778335744,67.871402878
53077940005,0.347723344,-44.567879046,68.326650367,23.758771320,68.326650367
53063013501,0.373192006,-42.938070720,68.502749095,25.564678374,68.502749095
53063013001,0.329432485,-46.591942783,69.481359796,22.889417013,69.481359796
53037975103,0.241709146,-53.599230863,70.684263959,17.085033096,70.684263959
53053072909,1.197891697,13.991076835,70.700676450,84.691753285,70.700676450
53019940000,0.436842599,-39.818937640,70.706586826,30.887649186,70.706586826
53017950102,0.109415918,-63.478688842,71.277591973,7.798903131,71.277591973
53025010700,0.173629076,-59.152979901,71.581632653,12.428652752,71.581632653
53015000703,0.928876547,-5.183255040,72.876875853,67.693620812,72.876875853
53025010600,0.133483286,-64.507748369,74.444897959,9.937149590,74.444897959
53061052105,0.532469706,-34.905188141,74.658666164,39.753478023,74.658666164
53061050600,0.332913258,-51.097411751,76.597852298,25.500440547,76.597852298
53049950502,0.067626156,-72.304891148,77.549248748,5.244357600,77.549248748
53025011300,0.156754579,-65.994566438,78.262585034,12.268018596,78.262585034
53049950701,0.160190231,-65.951004227,78.530884808,12.579880581,78.530884808
53057940402,0.432379117,-45.313064171,79.829804560,34.516740389,79.829804560
53037975102,0.170840048,-66.748638830,80.501522843,13.752884013,80.501522843
